stn_id,column,value,count
467550,pres,-9999.5,318
467550,slp,-9999.5,403
467550,t_air,-99.5,270
467550,td_obs,-99.5,288
467550,rh,-9995.0,288
467550,wind,-99.5,359
467550,wind_dir,-999.5,359
467550,gust,-99.5,458
467550,gust_dir,-999.5,458
467550,precip,-999.5,264
467550,uv,-99.95,2498
467550,cloud_manual,-99.7,7296
C0H9C0,pres,-9999.7,31224
C0H9C0,pres,-9999.5,1148
C0H9C0,t_air,-99.5,2650
C0H9C0,t_air,-99.7,2187
C0H9C0,rh,-9997.0,31538
C0H9C0,rh,-9995.0,3767
C0H9C0,rh,-9991.0,2167
C0H9C0,wind,-99.7,2321
C0H9C0,wind,-99.5,2167
C0H9C0,wind,-99.1,24
C0H9C0,wind_dir,-999.7,2343
C0H9C0,wind_dir,-999.5,2167
C0H9C0,wind_dir,-999.1,24
C0H9C0,precip,-999.6,3151
C0H9C0,precip,-999.5,1427
C0H9C0,precip,-999.1,27
C0H990,pres,-9999.7,34710
C0H990,t_air,-99.7,958
C0H990,t_air,-99.5,680
C0H990,rh,-9997.0,34691
C0H990,rh,-9995.0,910
C0H990,wind,-99.7,989
C0H990,wind,-99.5,142
C0H990,wind_dir,-999.7,1278
C0H990,wind_dir,-999.5,142
C0H990,precip,-999.6,569
C0H990,precip,-999.5,217
C0H990,precip,-999.1,5
466920,pres,-9999.5,3
466920,slp,-9999.5,4
466920,t_air,-99.5,2
466920,td_obs,-99.5,236
466920,rh,-9995.0,236
466920,wind,-99.5,5
466920,wind_dir,-999.5,5
466920,gust,-99.5,3
466920,gust_dir,-999.5,3
466920,precip,-999.5,1
466920,uv,-99.95,593
466910,pres,-9999.5,1
466910,slp,-9999.5,5
466910,t_air,-99.5,3
466910,td_obs,-99.5,3
466910,rh,-9995.0,3
466910,wind,-99.5,3
466910,wind_dir,-999.5,3
466910,gust,-99.5,2
466910,gust_dir,-999.5,2
466910,precip,-999.5,2
466910,uv,-99.95,1131
466910,cloud_manual,-99.7,3808
467530,pres,-9999.5,2
467530,slp,-9999.5,27
467530,t_air,-99.5,21
467530,td_obs,-99.5,24
467530,rh,-9995.0,24
467530,wind,-99.5,21
467530,wind_dir,-999.5,21
467530,gust,-99.5,20
467530,gust_dir,-999.5,20
467530,precip,-999.5,7
467530,uv,-99.95,202
467530,cloud_manual,-99.7,2762
