stn_id,year,stuck_hours
467550,2008,0
467550,2009,25
467550,2010,0
467550,2011,0
467550,2012,0
467550,2013,13
467550,2014,13
467550,2015,25
467550,2016,12
467550,2017,0
467550,2018,0
467550,2019,52
467550,2020,14
467550,2021,0
467550,2022,13
467550,2023,25
467550,2024,25
467550,2025,0
467550,2026,12
C0H9C0,2008,0
C0H9C0,2009,0
C0H9C0,2010,0
C0H9C0,2011,0
C0H9C0,2012,1507
C0H9C0,2013,12
C0H9C0,2014,40
C0H9C0,2015,1363
C0H9C0,2016,12
C0H9C0,2017,0
C0H9C0,2018,1305
C0H9C0,2019,94
C0H9C0,2020,746
C0H9C0,2021,55
C0H9C0,2022,0
C0H9C0,2023,0
C0H9C0,2024,12
C0H9C0,2025,12
C0H9C0,2026,24
466920,2023,0
466920,2024,0
466920,2025,0
466920,2026,0
466910,2023,0
466910,2024,0
466910,2025,0
466910,2026,0
467530,2008,0
467530,2009,0
467530,2010,13
467530,2011,0
467530,2012,15
467530,2013,0
467530,2014,0
467530,2015,38
467530,2016,13
467530,2017,0
467530,2018,0
467530,2019,0
467530,2020,0
467530,2021,0
467530,2022,0
467530,2023,56
467530,2024,815
467530,2025,1199
467530,2026,0
C0H990,2008,0
C0H990,2009,0
C0H990,2010,0
C0H990,2011,0
C0H990,2012,0
C0H990,2013,0
C0H990,2014,0
C0H990,2015,0
C0H990,2016,0
C0H990,2017,13
C0H990,2018,13
C0H990,2019,2655
C0H990,2020,2623
C0H990,2021,0
C0H990,2022,2295
C0H990,2023,1196
C0H990,2024,1031
C0H990,2025,1329
C0H990,2026,1135
