stn_id,month,var,q25,q50,q75
467550,1,rh,25.0,60.0,94.0
467550,2,rh,35.0,73.0,99.0
467550,3,rh,57.0,87.0,100.0
467550,4,rh,68.0,88.0,99.0
467550,5,rh,74.0,91.0,99.0
467550,6,rh,68.0,88.0,98.0
467550,7,rh,62.0,79.0,95.0
467550,8,rh,67.0,85.0,97.0
467550,9,rh,62.0,79.0,93.0
467550,10,rh,51.0,71.0,93.0
467550,11,rh,48.0,76.0,96.0
467550,12,rh,26.0,72.0,98.0
467550,1,dpd,0.73,6.12,16.82
467550,2,dpd,0.12,3.75,12.9
467550,3,dpd,0.0,1.81,7.18
467550,4,dpd,0.14,1.76,5.27
467550,5,dpd,0.14,1.35,4.25
467550,6,dpd,0.29,1.86,5.56
467550,7,dpd,0.75,3.38,6.78
467550,8,dpd,0.44,2.38,5.68
467550,9,dpd,1.03,3.34,6.76
467550,10,dpd,1.04,4.84,9.32
467550,11,dpd,0.57,3.68,9.63
467550,12,dpd,0.24,4.2,16.58
467550,1,t_air,-4.0,-0.9,1.1
467550,2,t_air,-3.1,-0.7,1.0
467550,3,t_air,-1.2,0.3,1.5
467550,4,t_air,1.3,2.4,3.4
467550,5,t_air,3.5,4.5,5.6
467550,6,t_air,5.3,6.2,7.0
467550,7,t_air,5.4,6.2,7.0
467550,8,t_air,5.1,6.1,6.9
467550,9,t_air,4.7,5.5,6.5
467550,10,t_air,3.5,4.6,5.8
467550,11,t_air,0.7,2.5,4.0
467550,12,t_air,-1.9,0.2,2.0
467550,1,wind,3.6,5.2,7.1
467550,2,wind,3.5,5.1,6.9
467550,3,wind,3.2,4.7,6.2
467550,4,wind,3.0,4.4,6.1
467550,5,wind,3.12,4.7,6.6
467550,6,wind,3.7,5.8,8.0
467550,7,wind,3.3,5.8,8.2
467550,8,wind,3.0,5.3,7.8
467550,9,wind,2.3,4.7,7.2
467550,10,wind,2.7,4.8,7.0
467550,11,wind,3.3,5.0,6.8
467550,12,wind,3.5,5.2,7.0
C0H9C0,1,rh,44.0,96.0,99.0
C0H9C0,2,rh,63.0,98.0,100.0
C0H9C0,3,rh,73.0,99.0,100.0
C0H9C0,4,rh,77.0,99.0,100.0
C0H9C0,5,rh,88.5,100.0,100.0
C0H9C0,6,rh,80.0,99.0,100.0
C0H9C0,7,rh,66.0,86.0,100.0
C0H9C0,8,rh,75.0,96.0,100.0
C0H9C0,9,rh,70.0,94.0,100.0
C0H9C0,10,rh,53.0,88.0,100.0
C0H9C0,11,rh,62.0,94.0,100.0
C0H9C0,12,rh,64.0,99.0,100.0
C0H9C0,1,dpd,0.12,0.48,10.43
C0H9C0,2,dpd,0.0,0.24,6.19
C0H9C0,3,dpd,0.0,0.14,4.37
C0H9C0,4,dpd,0.0,0.14,3.74
C0H9C0,5,dpd,0.0,0.0,1.78
C0H9C0,6,dpd,0.0,0.15,3.28
C0H9C0,7,dpd,0.0,2.25,6.02
C0H9C0,8,dpd,0.0,0.6,4.17
C0H9C0,9,dpd,0.0,0.92,5.18
C0H9C0,10,dpd,0.0,1.87,9.07
C0H9C0,11,dpd,0.0,0.9,6.78
C0H9C0,12,dpd,0.0,0.14,6.21
C0H9C0,1,t_air,-2.2,-0.2,2.4
C0H9C0,2,t_air,-0.9,1.1,3.0
C0H9C0,3,t_air,1.1,2.7,4.1
C0H9C0,4,t_air,3.6,4.9,6.1
C0H9C0,5,t_air,6.1,7.3,8.4
C0H9C0,6,t_air,8.0,8.9,9.8
C0H9C0,7,t_air,8.6,9.4,10.4
C0H9C0,8,t_air,8.6,9.5,10.3
C0H9C0,9,t_air,8.2,9.1,9.8
C0H9C0,10,t_air,6.6,7.8,9.0
C0H9C0,11,t_air,3.3,5.3,6.9
C0H9C0,12,t_air,0.0,2.0,4.0
C0H9C0,1,wind,0.8,2.0,3.7
C0H9C0,2,wind,1.0,2.3,4.0
C0H9C0,3,wind,1.2,2.4,4.2
C0H9C0,4,wind,1.2,2.4,4.0
C0H9C0,5,wind,1.1,1.9,3.6
C0H9C0,6,wind,1.0,2.1,4.1
C0H9C0,7,wind,1.4,2.9,5.2
C0H9C0,8,wind,1.4,2.9,5.3
C0H9C0,9,wind,1.5,3.0,5.6
C0H9C0,10,wind,1.5,2.9,5.1
C0H9C0,11,wind,1.0,2.0,3.8
C0H9C0,12,wind,0.9,1.9,3.7
C0H990,1,rh,58.0,95.0,99.0
C0H990,2,rh,54.0,95.0,99.0
C0H990,3,rh,64.0,99.0,99.0
C0H990,4,rh,67.0,99.0,99.0
C0H990,5,rh,82.0,99.0,99.0
